seq_name,score_all,score_v,score_a,av_weight,std_all,std_v,std_a,std_av_weight,pretest,manual_selected,audio_category_id,video_summary,video_category_id,video_class,audio_class
Animation_1.mp4,1.753968253968254,1.5746031746031746,1.9285714285714288,47.07936507936508,0.7352474669698712,0.6463216651393244,0.8661052181160935,15.68469727545393,0,0,0|1,"The sound of music came from the ear, and a character flipped and jumped on the page before two characters stood on the blue table.",9,Animation and gaming,Speech|Music
Sports_1.mp4,1.758490566037736,1.569811320754717,1.8867924528301887,44.71698113207548,0.7862848285704475,0.6695534980809621,0.8720086749412038,15.374025745856304,0,0,0|1|2,"A man was walking on a white horse, and there was a whirring wind around him.",5,Sports,Speech|Music|Sound
Dance_1.mp4,1.7613333333333332,1.602666666666667,1.7546666666666666,46.41333333333333,0.6871195917257296,0.5422608660477418,0.8565003168667207,12.393430401511806,0,0,1|2,A pair of dancers danced to the rhythm of the music on the stage.,7,Dance,Music|Sound
Sports_2.mp4,1.821052631578948,1.6263157894736842,1.8065789473684213,45.4078947368421,0.8306328173103817,0.6446432441906932,0.9148166339131631,14.306341373977205,0,0,0,"On the court, a group of young people were playing a soccer match and shouting.",5,Sports,Speech
Dance_2.mp4,1.825675675675676,1.5783783783783782,1.8121621621621624,44.94594594594594,0.6635439948480073,0.4743475028907649,0.7121167948501076,18.119762836674,0,0,1|2,Many people shake their bodies to the music and cheer.,7,Dance,Music|Sound
Animal_1.mp4,1.836666666666667,1.5883333333333334,1.8916666666666664,43.15,0.7316029919656614,0.5960581437531604,0.8122560476879502,14.115534176386872,0,0,0,"Inside, a dog is rolling on the floor playing with the sound of men talking.",2,Animal,Speech
Speaking_1.mp4,1.8493150684931507,1.5808219178082192,1.8972602739726028,43.28767123287671,0.7715646598653417,0.5777488723597282,0.8847429951277951,14.488002174265509,0,0,0|1|2,"In the dark, a man in a white coat was arguing with people around him.",6,People speaking,Speech|Music|Sound
Music_1.mp4,1.904716981132076,1.6525157232704402,2.072012578616352,43.51290322580645,0.704162756602791,0.6049036928883639,0.7762664668794675,17.046428925637713,1,0,0|1,Several men were singing songs in the street.,8,Music performance,Speech|Music
Animation_2.mp4,1.9160714285714284,1.7482142857142855,2.05,46.05357142857143,0.8058370658038613,0.7385467478103864,0.9939818911831342,13.00967422254006,0,0,1,"In the dynamic music, the player is manipulating a game character for a game task.",9,Animation and gaming,Music
Speaking_2.mp4,1.933928571428572,1.7714285714285716,1.8875,45.0,0.6801809346755493,0.6029365369029046,0.7524656440360222,16.303931483485258,0,0,0,The girl stood on the lectern and gave a speech in the noisy meeting.,6,People speaking,Speech
